0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:30 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:30 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 200 12902
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/assets/img/rj1.png HTTP/1.1" 200 2687404
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/assets/img/5.png HTTP/1.1" 200 2509837
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/assets/img/passagens%20turquia.png HTTP/1.1" 200 1861014
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/assets/img/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 200 513357
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/assets/img/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 200 832734
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:30 -0300] "GET /MVTur_ViagemMVC/assets/img/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 200 691248
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:34 -0300] "GET /MVTur_ViagemMVC/assets/img/whatsapp.png HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:34 -0300] "GET /MVTur_ViagemMVC/assets/img/facebook.png HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:24:34 -0300] "GET /MVTur_ViagemMVC/assets/img/instagram.png HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:19 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:19 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:28 -0300] "GET /MVTur_ViagemMVC/destinos.html HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:28 -0300] "GET /MVTur_ViagemMVC/assets/img/1.png HTTP/1.1" 200 979726
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:28 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
